time,target_Q,Q,WHP,FLP,BHP,choke,status,method,solve_time_ms,solver_iters,active_limit,is_safe,violation
0,50,3.6666025038179733,2748.3037088489846,199.68316321074337,3180.346684185924,5.0,CONVERGING_UP,SCIPY_SLSQP,259.8,3,,True,
1,50,8.37523031260872,2681.1978880629295,204.33699687339444,3138.4702227588145,10.0,CONVERGING_UP,SCIPY_SLSQP,361.7,4,,True,
2,50,13.343653726334695,2607.073641961409,216.10405353162938,3094.452501038253,15.0,CONVERGING_UP,SCIPY_SLSQP,197.8,2,,True,
3,50,18.109299052379182,2537.226908846642,222.9630912314891,3034.835921966949,20.0,CONVERGING_UP,SCIPY_SLSQP,240.5,3,,True,
4,50,23.71912998253883,2466.758718542478,245.83487394310774,2975.6359841380086,25.0,CONVERGING_UP,SCIPY_SLSQP,195.6,2,,True,
5,50,28.944923491022614,2402.7851774308347,263.8455572970695,2915.786372147431,30.0,CONVERGING_UP,SCIPY_SLSQP,188.8,2,,True,
6,50,34.52720988883566,2339.392293622813,280.80438374595366,2861.169192675816,35.0,CONVERGING_UP,SCIPY_SLSQP,455.6,10,,True,
7,50,39.13132311973136,2278.153186577738,304.8469239754817,2798.814154893971,40.0,CONVERGING_UP,SCIPY_SLSQP,596.2,7,,True,
8,50,43.77860931075059,2222.614905830408,331.063282723165,2737.631253980734,45.0,CONVERGING_UP,SCIPY_SLSQP,695.3,9,,True,
9,50,48.83279275834294,2164.1244248950575,353.51096029911355,2686.149697014904,50.0,CONVERGING_UP,SCIPY_SLSQP,799.5,10,,True,
10,50,49.80018800944933,2159.692425151059,355.9510166262048,2647.228321934518,48.31,TRACKING,SCIPY_SLSQP,766.0,9,,True,
11,50,49.862706238939005,2167.1042827530478,354.0810949465578,2624.2724285884437,47.27,TRACKING,SCIPY_SLSQP,422.1,5,,True,
12,50,50.411889057084906,2169.0203161084114,353.38155176836017,2612.695061354191,47.13,TRACKING,SCIPY_SLSQP,318.6,4,,True,
13,50,49.72344993942188,2172.3376429273067,351.05240803952483,2603.1130649918073,46.61,TRACKING,SCIPY_SLSQP,393.1,5,,True,
14,50,50.13172570643629,2170.68700893554,353.11272177244103,2590.9129533783093,47.2,TRACKING,SCIPY_SLSQP,410.1,5,,True,
15,50,50.244978414524404,2171.6682674260683,350.1670510060981,2590.845728031826,46.87,TRACKING,SCIPY_SLSQP,443.0,5,,True,
16,50,50.24458541140972,2174.6064836182854,351.7753319944435,2584.3373246746114,46.74,TRACKING,SCIPY_SLSQP,406.7,5,,True,
17,50,50.15534385498974,2173.4637966015457,350.0438735253037,2581.574953727802,46.73,TRACKING,SCIPY_SLSQP,361.0,4,,True,
18,50,49.990808327839424,2174.431749516632,348.51588465625747,2586.35007420241,46.81,TRACKING,SCIPY_SLSQP,427.0,4,,True,
19,50,49.73339857862017,2170.4467678112983,352.086836339104,2580.6102896078605,46.97,TRACKING,SCIPY_SLSQP,319.4,4,,True,
20,50,50.36523306609848,2171.0081177258458,351.38546457308075,2573.473486372324,47.22,TRACKING,SCIPY_SLSQP,408.9,5,,True,
21,50,50.03419753589268,2172.3067554821273,351.311247426066,2575.945023146458,46.66,TRACKING,SCIPY_SLSQP,474.2,5,,True,
22,50,49.79118466763874,2172.0701245956907,350.833941088163,2574.0624962461393,46.92,TRACKING,SCIPY_SLSQP,367.2,4,,True,
23,50,49.91195946455552,2170.881230505072,351.55573449994733,2573.0231584779435,47.17,TRACKING,SCIPY_SLSQP,468.4,5,,True,
24,50,50.03480283758141,2170.8962703532475,348.999879956113,2569.7604462679524,47.07,TRACKING,SCIPY_SLSQP,266.1,3,,True,
25,70,52.03454761704886,2135.5882446389833,368.9011153712109,2563.2564975102564,52.07,CONVERGING_UP,SCIPY_SLSQP,196.2,2,,True,
26,70,55.49906042730899,2091.3089242043293,391.76175461882315,2531.0375603868342,57.07,CONVERGING_UP,SCIPY_SLSQP,194.1,2,,True,
27,70,58.57960516989939,2045.2999141613345,417.82001116701525,2500.662857223285,62.07,CONVERGING_UP,SCIPY_SLSQP,654.0,11,,True,
28,70,62.156853335013224,2003.4532447897905,443.45721061712675,2469.819315023453,67.07,CONVERGING_UP,SCIPY_SLSQP,614.5,11,,True,
29,70,65.56094510205622,1958.0422648738845,470.36764649906206,2432.2380684276536,72.07,CONVERGING_UP,SCIPY_SLSQP,1032.0,10,,True,
30,70,68.60954431879081,1917.2503761899302,496.2946712744608,2396.61355619928,77.07,TRACKING,SCIPY_SLSQP,744.2,9,,True,
31,70,70.2468878345673,1912.860023731909,503.86585918856895,2369.0589010608974,75.81,TRACKING,SCIPY_SLSQP,722.9,8,,True,
32,70,70.07702385746214,1919.6562862927958,498.4850609915881,2356.336098605539,73.83,TRACKING,SCIPY_SLSQP,595.7,7,,True,
