time,target_Q,Q,WHP,FLP,BHP,choke,status,method,solve_time_ms,solver_iters,active_limit,is_safe,violation
0,60,3.066720219316643,2747.3450308471192,203.94330836550702,3179.895402532218,5.0,CONVERGING_UP,SCIPY_SLSQP,260.7,3,,True,
1,60,7.5977411377244435,2680.4630302374817,205.92092528310675,3138.525735716703,10.0,CONVERGING_UP,SCIPY_SLSQP,341.7,5,,True,
2,60,13.036169063048519,2605.2652257928507,212.8509476406405,3090.4417362902423,15.0,CONVERGING_UP,SCIPY_SLSQP,243.4,3,,True,
3,60,18.083528857752277,2537.787567879627,226.4629561283109,3033.672173786946,20.0,CONVERGING_UP,SCIPY_SLSQP,253.0,3,,True,
4,60,24.234595058633246,2468.2917288646954,243.48754929424217,2975.65216371325,25.0,CONVERGING_UP,SCIPY_SLSQP,293.3,3,,True,
5,60,28.913622019674154,2402.75545044947,259.9571569973368,2921.2210526560066,30.0,CONVERGING_UP,SCIPY_SLSQP,243.9,3,,True,
6,60,33.99806915621353,2338.939403406594,281.3740868041815,2865.3397168065526,35.0,CONVERGING_UP,SCIPY_SLSQP,370.3,4,,True,
7,60,39.06755604363794,2277.466945500042,305.97603821615144,2796.307564734643,40.0,CONVERGING_UP,SCIPY_SLSQP,149.3,2,,True,
8,60,43.80721318567664,2218.682204632807,326.69197842559936,2741.935284184822,45.0,CONVERGING_UP,SCIPY_SLSQP,426.9,5,,True,
9,60,48.41442271994468,2167.309609016126,353.56516551808454,2683.4814343086828,50.0,CONVERGING_UP,SCIPY_SLSQP,529.8,6,,True,
10,60,51.97356184521144,2114.2154051304224,378.88497443739544,2632.5842057514883,55.0,CONVERGING_UP,SCIPY_SLSQP,765.8,9,,True,
11,60,56.52379654900761,2063.6373814447843,406.38862916998977,2575.4814107752295,60.0,CONVERGING_UP,SCIPY_SLSQP,947.0,11,,True,
12,60,59.2930245752463,2032.8276321096064,426.7883279052454,2534.064698338622,62.97,TRACKING,SCIPY_SLSQP,680.8,8,,True,
13,60,59.87712195488444,2035.1898870927998,423.25674212524575,2508.2569866238327,60.46,TRACKING,SCIPY_SLSQP,621.6,7,,True,
14,60,59.992824770584456,2041.8079453069502,417.2870933679716,2485.4178207580017,59.62,TRACKING,SCIPY_SLSQP,413.2,4,,True,
