time,target_Q,Q,WHP,FLP,BHP,choke,status,method,solve_time_ms,solver_iters,active_limit,is_safe,violation
0,50,3.063349796932783,2746.5656320360067,200.24021749780766,3175.145667489863,5.0,CONVERGING_UP,SCIPY_SLSQP,3335.3,10,,True,
1,50,7.715452940680698,2680.160918134328,207.0310880213205,3142.4044747245216,10.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),4185.1,12,,True,
2,50,12.96748094914208,2610.315447275573,215.04133913955312,3100.289106377734,15.0,CONVERGING_UP,SCIPY_SLSQP,3359.6,11,,True,
3,50,18.575078398182107,2536.03046054611,226.21865349450107,3039.3565021366812,20.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),7163.8,18,,True,
4,50,23.727861592359023,2469.7013940565635,244.0961134240706,2979.70792153392,25.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),6054.1,16,,True,
5,50,28.82289872161119,2400.3167957278765,261.01387493536976,2922.66315498394,30.0,CONVERGING_UP,SCIPY_SLSQP,10958.4,26,,True,
6,50,34.242488886428234,2337.508335863216,282.53641811130234,2860.9388343922124,35.0,CONVERGING_UP,SCIPY_SLSQP,8441.0,17,,True,
7,50,38.80644798019898,2279.2840995523943,304.82953392566566,2796.5411847910646,40.0,CONVERGING_UP,SCIPY_SLSQP,8408.3,20,,True,
8,50,43.8518903152797,2222.462886608179,330.3088343637099,2744.5061066333196,45.0,CONVERGING_UP,SCIPY_SLSQP,9070.0,17,,True,
9,50,47.77958193555893,2165.6458190344683,354.5111908424799,2685.9261032481872,50.0,CONVERGING_UP,SCIPY_SLSQP,7743.0,15,,True,
10,50,50.28269781810396,2159.488590369329,360.5268042218761,2649.1690712084414,49.3,TRACKING,SCIPY_SLSQP,4048.1,8,,True,
11,50,50.37489753629744,2167.13420455067,352.947524494407,2627.645708930384,46.9,TRACKING,SCIPY_SLSQP,7214.5,14,,True,
12,50,49.717908486671845,2171.950422964102,349.6567894817799,2611.8989979858875,46.62,TRACKING,SCIPY_SLSQP,4453.0,9,,True,
13,50,50.82543441614215,2167.348296528693,352.41084081075263,2595.2274147874978,47.21,TRACKING,SCIPY_SLSQP,5780.1,11,,True,
14,50,49.66272682120705,2178.0644084268815,348.47812427698307,2591.5365391107325,46.23,TRACKING,SCIPY_SLSQP,7236.0,14,,True,
15,50,49.85219325246396,2172.401586075099,349.6864040811573,2588.594705552189,47.23,TRACKING,SCIPY_SLSQP,5080.7,10,,True,
16,50,50.169314996035915,2169.4327362537488,354.4569688277973,2585.2751979019577,47.13,TRACKING,SCIPY_SLSQP,2607.3,5,,True,
17,50,49.46511817020881,2172.5029570869146,349.37972258888396,2583.575191856722,46.83,TRACKING,SCIPY_SLSQP,4288.9,8,,True,
18,50,50.06050716552569,2168.1753527671417,352.9880557416617,2580.024810377374,47.46,TRACKING,SCIPY_SLSQP,5621.4,10,,True,
19,50,49.839144047150924,2170.1070298693144,350.4323188022944,2574.416106614753,46.96,TRACKING,SCIPY_SLSQP,4516.4,9,,True,
20,50,50.75150401816195,2170.7598067653917,349.47065434240767,2577.8632870540473,47.13,TRACKING,SCIPY_SLSQP,2879.7,6,,True,
21,50,50.51204754053742,2177.550034342448,346.29954908435985,2575.3080357306403,46.29,TRACKING,SCIPY_SLSQP,4992.1,10,,True,
22,50,50.15063728847029,2175.7423161907404,348.859308842662,2579.775403531191,46.45,TRACKING,SCIPY_SLSQP,4396.1,9,,True,
23,50,49.589278371589025,2174.4793043324025,344.392614625482,2573.8059413323185,46.8,TRACKING,SCIPY_SLSQP,2489.0,5,,True,
24,50,50.06910501429499,2168.108621492549,353.89683244080265,2570.5432453121925,47.34,TRACKING,SCIPY_SLSQP,4456.4,9,,True,
