time,target_Q,Q,WHP,FLP,BHP,choke,status,method,solve_time_ms,solver_iters,active_limit,is_safe,violation
0,100,2.6767319805129572,2749.6127515153908,202.07296016021533,3175.34763873509,5.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),2766.5,9,,True,
1,100,8.203929046161687,2679.822702123542,208.3849975984212,3140.1254804216437,10.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),3160.7,10,,True,
2,100,13.581804759043305,2610.768157423502,215.06487816669144,3095.043311730828,15.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),2070.2,8,,True,
3,100,18.58099097872815,2539.369144217033,226.37760705072256,3039.967239270947,20.0,CONSTRAINED_MAX,SCIPY_SLSQP,3230.9,10,BHP=2243.6 < BHP_min=2244.0,True,
4,100,24.112427774011657,2465.9922840857907,241.61136921821162,2973.8087117386103,25.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),3969.4,11,,True,
5,100,28.996114786698342,2403.6653799485994,263.93718294161437,2920.3162429422287,30.0,CONSTRAINED_MAX,SCIPY_SLSQP,6946.9,16,BHP=2243.6 < BHP_min=2244.0,True,
6,100,34.66684542686056,2337.3067918439615,279.7215730634928,2859.616239156336,35.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),1496.1,7,,True,
7,100,39.186824845741114,2279.0044697713347,301.64105769793684,2799.702735566018,40.0,CONSTRAINED_MAX,SCIPY_SLSQP,11290.0,26,BHP=2243.6 < BHP_min=2244.0,True,
8,100,43.353213257023754,2222.6262186418717,329.2341548680923,2738.5250611182328,45.0,CONSTRAINED_MAX,SCIPY_SLSQP,1454.6,7,BHP=2243.6 < BHP_min=2244.0,True,
9,100,48.03872267074505,2165.463736311508,353.64461929575714,2687.250172356954,50.0,FALLBACK_ACTIVE,BRUTE_FORCE (Positive directional derivative for line),1917.5,8,,True,
10,100,52.12140062842101,2116.0512412162916,378.7805461662765,2627.0342205760444,55.0,CONSTRAINED_MAX,SCIPY_SLSQP,6176.3,16,BHP=2243.6 < BHP_min=2244.0,True,
11,100,54.3020631865755,2099.764402204415,385.596187960671,2587.9468722785346,54.5,FALLBACK_ACTIVE,BRUTE_FORCE (post-validation failed: step 9: BHP=2221),1473.5,7,,True,
